"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Jonathan Bowlan","PHI","RP","55.5","53","3","0","4.13","1.30","26","53","19","7","50","0","3","0","164"
"Luis Garcia","NYM","RP","58.0","52","3","0","4.01","1.35","26","56","22","6","58","0","3","0","164"
"Hurston Waldrep","ATL","SP","58.4","50","4","0","4.41","1.41","29","56","26","7","11","11","4","0","164"
"Zach Agnos","COL","RP","58.0","46","3","3","5.05","1.47","33","61","24","9","57","0","4","0","164"
"Yohan Ramirez","PIT","RP","52.4","54","3","0","4.14","1.34","24","48","22","5","49","0","3","0","163"
"Paul Blackburn","NYY","SP,RP","61.2","51","3","0","4.45","1.32","30","62","19","8","46","3","3","0","163"
"Cooper Criswell","SEA","RP","61.2","50","3","0","4.05","1.29","28","60","19","7","40","3","3","0","162"
"Connor Prielipp","MIN","SP","56.1","52","3","0","4.26","1.36","27","55","22","6","35","5","3","0","162"
"Chase Silseth","LAA","RP","54.0","53","3","0","4.30","1.39","26","49","26","7","47","0","3","0","162"
"Jack Dreyer","LAD","SP,RP","53.1","52","3","0","3.88","1.25","23","47","19","6","53","0","2","0","161"
"Wandy Peralta","SD","RP","58.4","50","3","0","3.87","1.35","25","54","24","6","60","0","3","0","161"
"Jacob Webb","CHC","RP","54.8","52","3","0","4.28","1.30","26","49","22","7","55","0","3","0","161"
"Tyler Ferguson","ATH","RP","51.5","51","3","1","4.30","1.39","25","46","25","6","50","0","3","0","161"
"Will Klein","LAD","RP","48.6","54","3","0","4.35","1.46","23","43","28","6","47","0","3","0","160"
"Rico Garcia","BAL","RP","53.1","55","2","0","4.44","1.37","26","49","23","8","51","0","2","0","160"
"Jovani Moran","BOS","RP","48.6","53","3","0","3.83","1.32","21","43","21","5","46","0","2","0","159"
"Huascar Brazoban","NYM","SP,RP","53.5","51","3","0","4.08","1.34","24","49","23","6","51","0","3","0","159"
"Travis Adams","MIN","SP,RP","62.0","49","3","0","4.61","1.39","32","64","22","8","44","2","4","0","159"
"Cade Gibson","MIA","RP","61.2","48","3","0","4.18","1.39","28","61","24","6","55","0","3","0","158"
"Brennan Bernardino","COL","SP,RP","55.9","50","3","0","4.51","1.46","28","57","25","6","58","0","3","0","157"
"David Festa","MIN","SP","50.2","51","3","0","4.19","1.28","23","46","18","7","18","8","3","0","156"
"DL Hall","MIL","SP,RP","52.7","50","3","0","4.12","1.36","24","48","24","6","45","0","2","0","156"
"Andrew Chafin","MIN","RP","48.9","52","3","0","4.14","1.41","23","45","24","5","51","0","3","0","156"
"Brent Suter","LAA","SP,RP","62.7","49","2","0","4.38","1.33","30","64","19","9","58","0","3","0","156"
"Ryan Bergert","KC","SP","58.8","49","3","0","4.72","1.40","31","58","24","8","23","9","3","0","156"
"Connor Brogdon","CLE","RP","51.0","51","3","0","4.51","1.36","26","48","21","8","49","0","3","0","155"
"Brant Hurter","DET","SP,RP","53.8","48","3","0","3.72","1.25","22","51","17","5","45","0","3","0","154"
"Caleb Ferguson","CIN","RP","52.6","49","3","0","4.06","1.33","24","50","20","6","55","0","3","0","154"
"Sam Moll","CIN","RP","50.6","50","3","0","4.23","1.35","24","46","22","6","53","0","2","0","154"
"Gordon Graceffo","STL","RP","59.3","47","3","0","4.35","1.36","29","61","20","7","50","0","3","0","154"
"Keider Montero","DET","SP,RP","57.6","48","3","0","4.54","1.35","29","58","20","9","26","5","3","0","154"
"Josh Sborz","TEX","RP","50.9","52","2","0","4.13","1.32","23","46","21","6","49","0","3","0","153"
"Lake Bachar","MIA","RP","49.9","50","3","0","4.34","1.35","24","46","21","7","47","0","3","0","153"
"Griff McGarry","WSH","SP","48.1","53","2","0","4.28","1.45","23","40","29","5","44","0","2","0","153"
"Taylor Clarke","ARI","RP","56.9","47","3","0","4.36","1.30","28","57","16","8","55","0","3","0","152"
"Alex Lange","KC","RP","47.5","50","3","0","4.05","1.41","21","42","26","5","48","0","3","0","152"
"JT Brubaker","SF","RP","56.2","47","3","0","4.35","1.36","27","56","21","7","48","0","3","0","152"
"Joel Payamps","ATL","RP","51.5","48","3","0","4.10","1.28","23","50","16","7","53","0","2","0","151"
"Cole Sulser","TB","RP","52.1","48","3","0","4.14","1.31","24","49","19","7","49","0","3","0","151"
"Yuki Matsui","SD","RP","50.1","51","2","0","4.17","1.34","23","44","23","7","50","0","2","0","151"
"Daniel Lynch","KC","RP","60.0","45","3","0","4.34","1.35","29","61","20","8","53","0","3","0","151"
"Seth Halvorsen","COL","RP","46.6","43","2","4","4.63","1.47","24","47","21","6","45","0","3","0","151"
"Danny Coulombe","BOS","RP","48.5","48","3","0","3.80","1.26","20","44","17","5","52","0","2","0","150"
"Ryan Fernandez","STL","RP","47.6","49","3","0","4.09","1.36","22","43","21","5","46","0","3","0","150"
"Roddery Munoz","HOU","RP","50.8","51","2","0","4.66","1.40","26","47","24","8","44","0","3","0","150"
"Brenan Hanifee","DET","RP","59.0","44","3","0","3.94","1.30","26","60","17","6","55","0","3","0","149"
"Kade Strowd","ARI","RP","48.9","46","3","1","4.16","1.40","23","47","22","5","48","0","2","0","149"
"Cionel Perez","WSH","RP","55.0","46","2","1","4.35","1.49","27","54","28","5","55","0","2","0","149"
"JP Sears","SD","SP","54.8","46","3","0","4.56","1.27","28","53","16","10","20","8","3","0","148"
"Marcus Stroman","","SP","58.5","42","4","0","4.65","1.44","30","61","23","7","13","11","4","0","148"
"Jalen Beeks","TEX","RP","51.7","46","3","0","4.05","1.34","23","49","20","6","52","0","3","0","147"
"Matt Pushard","STL","RP","52.6","46","3","0","4.29","1.35","25","51","20","7","51","0","3","0","147"
"Brent Headrick","NYY","RP","48.0","49","2","0","4.02","1.23","21","43","16","7","42","0","2","0","146"
"Tim Hill","NYY","RP","64.6","38","4","0","4.07","1.35","29","68","19","6","65","0","3","0","146"
"Casey Legumina","SEA","RP","48.7","47","3","0","4.19","1.32","23","45","20","6","47","0","3","0","146"
"Andre Granillo","WSH","RP","48.0","47","2","1","4.35","1.35","23","44","21","7","44","0","3","0","146"
"Hunter Bigge","TB","RP","47.6","49","2","0","4.19","1.34","22","43","21","7","46","0","2","0","145"
"A.J. Puk","ARI","RP","35.0","40","2","5","3.40","1.17","13","29","12","4","34","0","1","0","144"
"Justin Bruihl","STL","RP","49.9","45","3","0","4.06","1.35","22","48","19","5","50","0","3","0","144"
"Carlos Vargas","SEA","RP","56.1","43","3","0","4.10","1.34","26","55","20","6","55","0","3","0","144"
"Gregory Santos","SF","RP","46.5","41","2","3","3.89","1.39","20","45","20","4","45","0","2","0","144"
"Brandyn Garcia","ARI","RP","50.8","45","3","0","4.19","1.43","24","50","23","5","47","0","3","0","144"
"Connelly Early","BOS","SP","44.9","46","3","0","3.72","1.27","19","40","18","4","15","7","2","0","142"
"Josh White","MIA","RP","44.5","46","3","0","3.96","1.31","20","40","18","5","42","0","2","0","142"
"Evan Sisk","PIT","RP","48.4","47","2","0","3.92","1.38","21","46","21","4","49","0","2","0","142"
"Ryan Gusto","MIA","SP,RP","51.5","44","3","0","4.56","1.36","26","52","18","7","32","4","3","0","142"
"Jonathan Loaisiga","ARI","RP","49.1","41","3","1","3.94","1.32","21","49","15","5","49","0","2","0","141"
"Matt Gage","SF","RP","53.0","45","2","0","4.02","1.35","24","52","19","5","52","0","2","0","141"
"Tommy Kahnle","","RP","49.5","44","2","1","4.35","1.40","24","46","23","6","51","0","3","0","141"
"Kai-Wei Teng","HOU","SP,RP","46.0","47","2","0","4.36","1.36","22","42","20","6","32","3","3","0","139"
"Mason Black","KC","SP,RP","52.3","43","3","0","4.91","1.45","29","53","22","8","32","3","3","0","139"
"Joel Peguero","SF","RP","46.7","39","2","3","4.43","1.43","23","47","20","5","45","0","2","0","138"
"Nate Pearson","HOU","RP","46.2","46","2","0","4.39","1.36","23","42","21","6","44","0","2","0","137"
"Wikelman Gonzalez","CWS","SP,RP","46.8","46","2","0","4.70","1.51","24","43","28","6","42","0","3","0","137"
"Tanner Gordon","COL","SP","56.7","41","3","0","5.34","1.42","34","66","14","11","24","7","4","0","137"
"Justin Wilson","","RP","42.9","46","2","0","3.75","1.28","18","39","16","5","44","0","2","0","136"
"George Klassen","LAA","SP","47.9","45","2","0","4.62","1.42","25","46","22","7","20","7","3","0","135"
"Walker Buehler","SD","SP","52.7","41","3","0","4.95","1.43","29","54","21","9","21","8","3","0","135"
"Hayden Harris","ATL","RP","40.8","46","2","0","3.94","1.30","18","35","18","5","41","0","2","0","134"
"Keegan Thompson","COL","RP","46.3","45","2","0","4.77","1.44","25","46","20","7","41","0","3","0","134"
"Ian Hamilton","ATL","RP","42.7","45","2","0","3.95","1.35","19","38","19","4","41","0","2","0","133"
"Jordan Montgomery","TEX","SP","50.9","40","3","0","4.46","1.34","25","52","17","7","15","8","3","0","133"
"Kyle Backhus","PHI","RP","46.0","44","2","0","4.31","1.36","22","44","19","6","48","0","3","0","133"
"Mason Fluharty","TOR","RP","43.3","44","2","0","3.98","1.30","19","38","18","5","44","0","2","0","132"
"Peyton Pallette","CLE","RP","45.2","44","2","0","4.45","1.37","22","42","20","6","43","0","2","0","132"
"Colin Selby","BAL","RP","42.0","44","2","0","3.99","1.32","19","38","18","5","40","0","2","0","131"
"Rob Zastryzny","MIL","RP","46.4","43","2","0","4.19","1.31","22","44","17","6","48","0","2","0","131"
"Bradgley Rodriguez","SD","RP","44.8","41","3","0","4.17","1.39","21","41","21","5","43","0","2","0","131"
"Steven Wilson","TB","RP","44.7","44","2","0","4.68","1.35","23","40","20","7","45","0","2","0","131"
"Eduarniel Nunez","ATH","RP","43.0","44","2","0","4.43","1.48","21","39","25","5","41","0","2","0","131"
"Corbin Burnes","ARI","SP","44.1","40","3","0","3.69","1.22","18","40","14","5","7","7","2","0","130"
"Jon Gray","","RP","45.6","40","3","0","4.48","1.31","23","45","15","7","10","8","3","0","129"
"Jaden Hill","COL","RP","43.0","43","2","0","4.39","1.37","21","42","17","5","41","0","2","0","129"
"Zach McCambley","PHI","RP","43.2","43","2","0","4.42","1.38","21","41","19","6","43","0","2","0","129"
"Sam Hentges","SF","RP","42.4","42","2","0","3.57","1.26","17","39","15","4","43","0","2","0","128"
"Adbert Alzolay","NYM","RP","44.1","42","2","0","4.18","1.26","20","41","15","6","43","0","3","0","128"
"Luke Jackson","","RP","43.7","40","2","1","4.32","1.40","21","41","21","5","43","0","3","0","128"
"Michael Kopech","","RP","39.7","44","2","0","4.48","1.42","20","33","23","6","39","0","2","0","128"
"Kevin Kelly","TB","RP","46.4","40","2","0","3.84","1.19","20","44","11","5","46","0","3","0","126"
"Steven Cruz","KC","RP","44.6","41","2","0","4.20","1.34","21","41","19","5","44","0","2","0","126"
"Mitchell Parker","WSH","SP","49.2","37","3","0","4.60","1.36","25","51","16","7","27","4","3","0","126"
"Hayden Birdsong","SF","SP,RP","42.7","42","2","0","4.64","1.41","22","39","21","6","16","6","3","0","126"
"Brock Stewart","LAD","RP","37.2","43","2","0","3.97","1.26","16","32","15","5","38","0","2","0","125"
"George Soriano","STL","RP","43.9","41","2","0","4.43","1.37","22","42","18","6","39","0","2","0","125"
"Kyle Nicolas","CIN","RP","41.4","42","2","0","4.31","1.41","20","38","21","5","39","0","2","0","125"
"Carter Baumler","TEX","RP","47.1","40","2","0","4.61","1.41","24","45","21","6","45","0","3","0","125"
"Kyle Hurt","LAD","RP","39.3","42","2","0","4.23","1.37","19","36","18","5","21","4","2","0","124"
"Ron Marinaccio","SD","RP","42.2","41","2","0","4.36","1.36","20","38","19","6","40","0","2","0","124"
"Andrew Hoffmann","ARI","RP","44.3","40","2","0","4.26","1.39","21","44","17","5","41","0","2","0","124"
"Austin Warren","NYM","RP","41.6","38","3","0","4.30","1.32","20","39","15","6","38","0","2","0","123"
"Drey Jameson","ARI","RP","41.4","38","2","1","4.22","1.37","19","40","17","5","37","0","2","0","123"
"Colin Holderman","CLE","RP","42.5","40","2","0","4.22","1.37","20","40","18","5","42","0","2","0","123"
"AJ Blubaugh","HOU","SP,RP","44.3","40","2","0","4.49","1.36","22","42","19","7","31","3","3","0","123"
"Quinn Mathews","STL","SP","43.8","40","2","0","4.55","1.53","22","40","27","5","9","9","3","0","123"
"Brusdar Graterol","LAD","RP","43.7","36","3","0","3.45","1.20","17","40","12","4","43","0","2","0","122"
"Grant Wolfram","BAL","RP","42.1","40","2","0","4.17","1.39","20","40","18","5","40","0","2","0","122"
"Beau Brieske","DET","RP","45.3","39","2","0","4.57","1.39","23","43","20","6","43","0","2","0","122"
"Jason Alexander","HOU","SP,RP","48.5","38","2","0","4.63","1.39","25","50","17","7","22","6","3","0","122"
"Gunnar Hoglund","ATH","SP","49.2","38","2","0","4.91","1.36","27","51","16","9","23","6","3","0","122"
"John Brebbia","COL","RP","41.7","41","2","0","5.00","1.42","23","44","15","7","42","0","2","0","122"
"Jose Leclerc","","RP","37.3","41","2","0","4.19","1.32","17","32","17","5","37","0","2","0","121"
"Edgardo Henriquez","LAD","RP","37.9","41","2","0","4.28","1.38","18","34","18","5","38","0","2","0","121"
"Ryan Brasier","TEX","RP","43.5","38","2","0","3.97","1.23","19","41","13","5","43","0","2","0","120"
"Bryan Hudson","NYM","RP","40.7","39","2","0","3.94","1.31","18","36","17","5","38","0","2","0","120"
"Dylan Dodd","ATL","RP","44.3","38","2","0","4.17","1.28","21","45","12","6","40","0","2","0","120"
"Paxton Schultz","WSH","RP","42.2","39","2","0","4.42","1.36","21","41","17","6","37","0","2","0","120"
"Andrew Alvarez","WSH","SP","49.5","36","2","0","4.36","1.40","24","50","19","6","24","6","3","0","120"
"Craig Yoho","MIL","RP","37.3","40","2","0","3.88","1.32","16","32","17","4","37","0","2","0","119"
"Brandan Bidois","PIT","RP","41.5","39","2","0","4.51","1.44","21","39","20","5","40","0","3","0","119"
"Orlando Ribalta","WSH","RP","41.8","39","2","0","4.82","1.48","22","41","21","6","41","0","2","0","119"
"Alex Cobb","","SP","42.0","35","3","0","4.10","1.31","19","41","14","4","12","7","3","0","118"
"Chad Green","","RP","43.3","38","2","0","4.61","1.32","22","43","14","7","43","0","2","0","118"
"Dauri Moreta","","RP","33.9","40","2","0","3.83","1.26","14","28","15","4","34","0","2","0","117"
"Julian Fernandez","WSH","RP","38.3","39","2","0","4.11","1.29","18","35","14","5","37","0","2","0","117"
"Yariel Rodriguez","TOR","RP","39.8","38","2","0","4.11","1.34","18","35","19","5","38","0","2","0","117"
"Nick Sandlin","LAA","RP","37.6","39","2","0","4.43","1.33","18","33","17","6","39","0","2","0","117"
"Zach Maxwell","CIN","RP","37.6","39","2","0","4.62","1.48","19","35","21","5","37","0","2","0","116"
"Chase Petty","CIN","SP","47.1","36","2","0","5.15","1.50","27","50","21","7","26","5","4","0","116"
"Ethan Roberts","CHC","RP","38.9","38","2","0","4.29","1.33","19","36","16","5","37","0","2","0","115"
"Chris Murphy","CWS","RP","40.6","37","2","0","4.25","1.39","19","38","19","5","34","0","2","0","115"
"Sam Bachman","LAA","RP","43.0","36","2","0","4.45","1.45","21","42","20","5","42","0","3","0","115"
"Yaramil Hiraldo","BAL","RP","35.7","38","2","0","4.15","1.27","16","32","13","5","35","0","2","0","114"
"River Ryan","LAD","SP","43.1","36","2","0","4.51","1.38","22","42","17","6","13","8","2","0","114"
"John Klein","MIN","SP,RP","42.8","36","2","0","4.60","1.37","22","43","16","6","33","2","3","0","114"
"Jose Fermin","LAA","RP","35.8","38","2","0","4.44","1.37","18","31","18","5","37","0","3","0","113"
"Shane Drohan","MIL","SP","36.5","37","2","0","4.09","1.32","17","33","16","5","24","3","2","0","112"
"Jack Kochanowicz","LAA","SP","50.7","32","2","0","4.98","1.48","28","55","20","7","28","5","3","0","111"
"Luis Garcia","","SP","35.8","36","2","0","4.12","1.25","16","33","12","5","22","5","2","0","110"
