"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Garrett Acton","MIA","RP","17.3","17","1","0","4.57","1.36","9","16","8","3","17","0","1","0","52"
"Kolby Allard","CLE","SP,RP","20.1","16","1","0","4.56","1.37","10","21","6","3","18","0","1","0","52"
"Gavin Hollowell","CHC","RP","17.0","17","1","0","4.47","1.42","8","15","9","2","16","0","1","0","52"
"Thomas Harrington","PIT","SP,RP","19.6","16","1","0","4.77","1.37","10","20","7","3","9","3","1","0","52"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0","51"
"Brycen Mautz","STL","SP","18.5","16","1","0","4.28","1.32","9","18","6","2","16","1","1","0","51"
"Chris Devenski","PIT","RP","18.9","16","1","0","4.55","1.34","10","19","6","3","18","0","1","0","51"
"Carson Fulmer","PIT","SP,RP","18.8","16","1","0","4.32","1.47","9","19","9","2","10","1","1","0","51"
"Jake Eder","WSH","SP","19.3","16","1","0","4.77","1.43","10","20","8","3","16","0","1","0","51"
"Travis Sykora","WSH","SP","16.5","17","1","0","4.91","1.58","9","16","11","2","16","1","1","0","51"
"Sean Guenther","DET","RP","18.5","15","1","0","3.90","1.29","8","18","6","2","18","0","1","0","50"
"Anthony Molina","ATL","RP","20.9","15","1","0","5.35","1.59","12","25","9","3","11","0","1","0","50"
"Felix Bautista","BAL","RP","12.5","17","1","0","3.34","1.16","5","9","6","1","12","0","1","0","49"
"Jhony Brito","SD","RP","18.8","15","1","0","4.22","1.32","9","19","6","2","17","0","1","0","49"
"Eric Cerantola","KC","RP","16.0","16","1","0","4.46","1.47","8","14","9","2","16","0","1","0","49"
"John Brebbia","COL","RP","16.5","16","1","0","4.98","1.41","9","17","6","3","17","0","1","0","49"
"Emiliano Teodo","TEX","RP","15.8","16","1","0","4.63","1.54","8","14","10","2","16","0","1","0","49"
"John Curtiss","ARI","RP","19.6","15","1","0","5.05","1.40","11","21","7","4","18","0","1","0","49"
"Hunter Strickland","LAA","RP","19.4","15","1","0","4.95","1.43","11","19","9","3","19","0","1","0","49"
"Lucas Sims","CWS","RP","16.4","16","1","0","5.18","1.54","9","15","11","2","18","0","1","0","49"
"Jake Woodford","TB","SP,RP","19.2","15","1","0","5.17","1.54","11","21","9","3","11","1","1","0","49"
"David Davalillo","TEX","SP","16.3","15","1","0","3.86","1.23","7","14","7","2","4","4","1","1","48"
"Evan Reifert","TB","RP","14.2","16","1","0","4.13","1.36","7","12","7","2","14","0","1","0","48"
"David Sandlin","CWS","SP,RP","17.5","15","1","0","4.41","1.33","9","17","6","3","17","0","1","0","48"
"Daison Acosta","SD","RP","14.7","16","1","0","4.24","1.40","7","13","8","2","15","0","1","0","48"
"Jose Espada","BAL","RP","14.6","16","1","0","4.48","1.35","7","13","7","2","12","0","1","0","48"
"Gage Jump","ATH","SP","16.8","15","1","0","4.44","1.35","8","16","6","2","3","3","1","0","48"
"Josh Ekness","MIA","RP","16.8","15","1","0","4.48","1.43","8","16","8","2","16","0","1","0","48"
"Matt Bowman","MIN","RP","18.3","15","1","0","4.68","1.39","10","19","7","3","16","0","1","0","48"
